ti_row_in_input,x,y,z,nearest_nd_row_in_input,nearest_nd_dist_A,nearest_ti_row_in_input,nearest_ti_dist_A
46,11.963572000000001,5.381976,0.33975700000000003,109,5.155586841552182,78,5.478436707361327
78,6.491887999999999,5.457928,0.07865499999999999,105,5.119168825453112,46,5.478436707361327
11,8.943925,4.975204,9.931463,109,5.014007248661196,31,3.373859654666299
0,9.355852,10.585328,1.113263,111,4.095597040692969,46,5.871404190339821
34,1.17124,6.711089,1.285717,98,3.9531345237096347,78,5.597919819331909
31,11.645045,5.921111,8.144807,109,3.7781823139194866,11,3.373859654666299
1,5.369959,1.369285,8.739198,100,3.7657121750476357,11,5.215110797858661
21,6.54291,0.021318,2.772652,104,3.1752154277954117,78,6.067697369891894
